gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
CIB2	NM_001271888,NM_001271889,NM_001301224,NM_006383,NR_125435	37.00	22.00	32.00	18.00	26.00	35.00	827.00	984.00	806.00	773.00	835.00	854.00
CIB3	NM_001300922,NM_054113	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CIB4	NM_001029881	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
CIC	NM_001304815,NM_015125	300.00	213.00	214.00	375.00	309.00	416.00	1409.00	1869.00	1476.00	1225.00	1548.00	1578.00
CIDEA	NM_001279,NR_036468	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CIDEB	NM_014430	1.00	0.00	0.00	1.00	1.00	2.00	0.00	1.00	0.00	0.00	1.00	1.00
CIDEC	NM_001199551,NM_001199552,NM_001199623,NM_022094	2.00	5.00	7.00	11.00	7.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00
CIDECP	NR_002786	11.00	10.00	5.00	10.00	10.00	16.00	31.00	32.00	39.00	17.00	24.00	28.00
CIITA	NM_000246,NM_001286402,NM_001286403,NR_104444	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	2.00	1.00	1.00	3.00
CILP	NM_003613	0.00	1.00	0.00	0.00	0.00	0.00	2.00	6.00	4.00	2.00	0.00	4.00
CILP2	NM_153221	21.00	15.00	9.00	38.00	49.00	55.00	540.00	652.00	535.00	523.00	594.00	705.00
CINP	NM_032630	50.00	47.00	30.00	86.00	81.00	80.00	308.00	303.00	275.00	272.00	231.00	254.00
CIPC	NM_033426	40.00	36.00	29.00	54.00	56.00	35.00	499.00	483.00	481.00	528.00	576.00	535.00
CIR1	NM_004882	41.00	44.00	46.00	53.00	50.00	61.00	360.00	414.00	295.00	422.00	330.00	312.00
CIRBP	NM_001280,NM_001300815,NM_001300829,NR_023312,NR_023313	126.00	151.00	146.00	153.00	159.00	148.00	1685.00	1929.00	2012.00	1533.00	1522.00	1653.00
CIRBP-AS1	NR_027271	2.00	2.00	5.00	3.00	3.00	2.00	2.00	12.00	12.00	6.00	6.00	0.00
