name,group
CNST,Non bivalent
SCCPDH,Non bivalent
TRIM58,Always_up
ZNF672,Non bivalent
PGBD2,Non bivalent
WASH7P,Non bivalent
LOC729737,Non bivalent
LOC100132062,Non bivalent
LOC100132287,Non bivalent
LOC100133331,Non bivalent
LOC100288069,Non bivalent
NOC2L,Non bivalent
HES4,Pr_higher_than_Ni
RNF223,Non bivalent
C1orf159,Always_up
SDF4,Non bivalent
UBE2J2,Non bivalent
ACAP3,Non bivalent
CPSF3L,Non bivalent
DVL1,Non bivalent
MXRA8,Non bivalent
AURKAIP1,Non bivalent
CCNL2,Non bivalent
MRPL20,Non bivalent
TMEM240,Non bivalent
SSU72,Non bivalent
C1orf233,Non bivalent
CDK11B,Non bivalent
SLC35E2B,Non bivalent
CDK11A,Non bivalent
SLC35E2,Non bivalent
NADK,Non bivalent
GNB1,Non bivalent
TMEM52,Non bivalent
FAAP20,Non bivalent
LOC100129534,Non bivalent
MORN1,Non bivalent
PEX10,Non bivalent
MEGF6,Non bivalent
WRAP73,Pr_higher_than_Ni
TP73-AS1,Non bivalent
LRRC47,Non bivalent
CEP104,Non bivalent
C1orf174,Non bivalent
NPHP4,Non bivalent
CHD5,Non bivalent
RPL22,Non bivalent
ICMT,Non bivalent
GPR153,Non bivalent
ACOT7,Non bivalent
HES2,Pr_higher_than_Ni
TNFRSF25,Non bivalent
PLEKHG5,Non bivalent
NOL9,Non bivalent
KLHL21,Non bivalent
DNAJC11,Non bivalent
TNFRSF9,Always_up
ERRFI1,Non bivalent
RERE,Non bivalent
ENO1,Non bivalent
SLC2A5,Non bivalent
GPR157,Non bivalent
PIK3CD-AS2,Non bivalent
CLSTN1,Ni_higher_than_Pr
CTNNBIP1,Non bivalent
LZIC,Non bivalent
DFFA,Non bivalent
CASZ1,Non bivalent
SRM,Non bivalent
EXOSC10,Non bivalent
MTOR,Non bivalent
FBXO2,Non bivalent
MAD2L2,Non bivalent
MTHFR,Non bivalent
NPPB,Always_up
KIAA2013,Non bivalent
DHRS3,Non bivalent
PRAMEF4,Non bivalent
PRAMEF10,Non bivalent
PRAMEF6,Non bivalent
LOC101929983,Non bivalent
PRAMEF8,Non bivalent
PRAMEF14,Non bivalent
PRAMEF19,Non bivalent
LRRC38,Always_up
TMEM51-AS1,Always_up
CASP9,Non bivalent
AGMAT,Non bivalent
UQCRHL,Non bivalent
FLJ37453,Non bivalent
ZBTB17,Non bivalent
HSPB7,Non bivalent
EPHA2,Always_up
ARHGEF19,Ni_higher_than_Pr
RSG1,Pr_higher_than_Ni
FBXO42,Non bivalent
CROCCP3,Non bivalent
RNU1-1,Non bivalent
RNU1-2,Non bivalent
RNU1-27P,Non bivalent
RNU1-28P,Non bivalent
RNU1-3,Non bivalent
RNU1-4,Non bivalent
RNVU1-18,Non bivalent
NBPF1,Always_up
CROCCP2,Non bivalent
MST1L,Ni_higher_than_Pr
MFAP2,Non bivalent
ATP13A2,Non bivalent
SDHB,Non bivalent
PADI2,Non bivalent
RCC2,Non bivalent
ALDH4A1,Non bivalent
IFFO2,Non bivalent
UBR4,Non bivalent
EMC1,Non bivalent
LOC100506730,Always_up
AKR7A2,Non bivalent
CAPZB,Non bivalent
TMCO4,Always_up
PLA2G2A,Non bivalent
CAMK2N1,Always_up
MUL1,Non bivalent
PINK1-AS,Non bivalent
DDOST,Non bivalent
KIF17,Always_up
SH2D5,Always_up
HP1BP3,Non bivalent
EIF4G3,Always_up
ECE1,Always_up
RAP1GAP,Non bivalent
USP48,Non bivalent
HSPG2,Non bivalent
LUZP1,Non bivalent
HTR1D,Non bivalent
LINC01355,Non bivalent
HNRNPR,Non bivalent
ZNF436,Non bivalent
TCEA3,Always_up
ASAP3,Non bivalent
E2F2,Non bivalent
ID3,Non bivalent
TCEB3-AS1,Non bivalent
GALE,Non bivalent
HMGCL,Non bivalent
FUCA1,Pr_higher_than_Ni
CNR2,Non bivalent
SRSF10,Non bivalent
IFNLR1,Non bivalent
STPG1,Non bivalent
RUNX3,Non bivalent
SYF2,Non bivalent
RSRP1,Non bivalent
AUNIP,Non bivalent
PAQR7,Non bivalent
STMN1,Non bivalent
PAFAH2,Non bivalent
SLC30A2,Pr_higher_than_Ni
TRIM63,Non bivalent
UBXN11,Non bivalent
AIM1L,Non bivalent
GPN2,Non bivalent
GPATCH3,Non bivalent
KDF1,Non bivalent
FAM46B,Non bivalent
SLC9A1,Non bivalent
MAP3K6,Non bivalent
WASF2,Non bivalent
AHDC1,Non bivalent
IFI6,Always_up
RPA2,Non bivalent
EYA3,Non bivalent
PTAFR,Non bivalent
DNAJC8,Non bivalent
SNHG12,Non bivalent
TAF12,Non bivalent
TMEM200B,Non bivalent
SRSF4,Non bivalent
MECR,Non bivalent
LAPTM5,Non bivalent
SDC3,Non bivalent
PUM1,Non bivalent
NKAIN1,Ni_higher_than_Pr
SNRNP40,Non bivalent
FABP3,Non bivalent
PEF1,Non bivalent
COL16A1,Non bivalent
ADGRB2,Non bivalent
SPOCD1,Non bivalent
PTP4A2,Non bivalent
TMEM234,Non bivalent
MTMR9LP,Non bivalent
MARCKSL1,Non bivalent
BSDC1,Non bivalent
ZBTB8OS,Non bivalent
SYNC,Non bivalent
YARS,Non bivalent
FNDC5,Non bivalent
TMEM54,Non bivalent
RNF19B,Non bivalent
AK2,Non bivalent
