gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
AC073628.1	AC073628.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC074138.3	AC074138.3	3	15	19	0	6	16	0	0	6	0	4	6	6	6
AC074286.1	AC074286.1	0	0	5	13	1	10	8	9	6	4	20	16	0	2
AC074289.1	AC074289.1	89	78	94	33	25	54	78	181.001	76	17	118	127	191	31
AC078941.1	AC078941.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079117.1	AC079117.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079145.4	AC079145.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079586.1	AC079586.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079610.2	AC079610.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079776.3	AC079776.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC087859.1	AC087859.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC090044.1	AC090044.1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
AC090505.6	AC090505.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC091729.9	AC091729.9	32	47	54	42	15	29	4	18	11	28	101.999	8	57	38
AC091878.1	AC091878.1	0	0	6	0	0	0	0	0	6	2	1	2	5	0
AC091969.1	AC091969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092295.7	AC092295.7	11	2	5	0	23	0	0	0	0	0	8	7	10	0
AC093375.1	AC093375.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093391.2	AC093391.2	2	2	0	0	0	0	0	1	0	5	5	4	9	0
AC093590.1	AC093590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093690.1	AC093690.1	6	0	0	5	0	7	0	0	9	6	6	11	12	0
AC095067.1	AC095067.1	0	15	0	0	0	0	0	0	0	0	0	0	0	0
AC096559.1	AC096559.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097468.4	AC097468.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097500.2	AC097500.2	0	6	0	14	0	0	0	0	0	0	0	2	0	0
AC097662.2	AC097662.2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AC098823.3	AC098823.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099342.1	AC099342.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104024.1	AC104024.1	12	0	5	0	0	15	11	5	11	0	14	5	11	5
AC104134.2	AC104134.2	0	0	7.438	8.871	0	3.822	2.348	0	0	7.572	15.016	5.362	51.24	1.166
AC104653.1	AC104653.1	7	0	0	4	0	10	0	1	0	10	14	1	1	3
AC104654.1	AC104654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104654.2	AC104654.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104655.2	AC104655.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104777.2	AC104777.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104777.4	AC104777.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104820.2	AC104820.2	5	8	13	9	8	2	11	5	20	18	12	5	12	6
AC105053.3	AC105053.3	12	0	0	0	0	2	0	3	0	8	2	0	0	0
AC105253.1	AC105253.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC105339.1	AC105339.1	0	0	0	0	1	0	0	0	0	0	1	3	0	0
AC105760.3	AC105760.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107070.1	AC107070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107622.1	AC107622.1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
AC108142.1	AC108142.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC109828.1	AC109828.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AC113607.2	AC113607.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC116035.1	AC116035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC125421.1	AC125421.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC131097.3	AC131097.3	0	0	3	0	0	8	0	0	0	0	10	8	0	0
AC136896.1	AC136896.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC137932.6	AC137932.6	105	0	64	11	0	10	22	4	12	8	7	26	0	17
AC144449.1	AC144449.1	1	0	6	0	0	5	1	11	0	8	0	3	0	2
AC145110.1	AC145110.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC147651.4	AC147651.4	99	44	52	30	58	32	13	10	51	17	23	40	6	9
AC159540.1	AC159540.1	20.193	18	16.284	14	19	23.988	13.31	62.148	79.427	37.996	15.882	6.838	71.544	15.988
AC159540.1-2	AC159540.1	91.807	60	100.716	121	67	110.012	152.403	193.852	342.573	116.004	193.118	112.162	309.457	117.012
AC226118.1	AC226118.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA1	ACAA1	1186	429	1507.999	234	289	411.999	304	442	373	342	719.001	869	598	286
ACAA2	ACAA2	837	307	815	293	234	355	315	384	137	203	242	777	215	172
ACACA	ACACA	155.001	123	119	56	50	141	71	129	125	79	217	113	138	178
ACACB	ACACB	92	99	151	78	78	97	129	161	182	69	301	156	218	177.001
ACAD10	ACAD10	128	49	175	75	22	92	101	83	146	54	203	183	149	63
ACAD11	ACAD11	105.104	131.809	175.241	49.037	45.634	108.555	194.409	217.113	161.498	101.41	255.023	151.718	376.603	152.12
ACAD8	ACAD8	158	72	175	30	31	48	156	91	180	16	126	137	166	89
ACAD9	ACAD9	143	108	372.001	44	34	52	53	99	131	48	78	173	191	106
ACADL	ACADL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	ACADM	219	113	527	17	11	71	53	69	46	101	163	177	170	39
ACADS	ACADS	159	59	212	122	32	88	90	81	76	48	111	140	107	81
ACADSB	ACADSB	249	216	444	115	78	120	127	137	235	185	315	328	371	239
ACADVL	ACADVL	2798	865.999	2237.985	473	781	917	877	1061	728	593.001	1600.837	2347.999	1317	675.001
ACAN	ACAN	0	0	1	0	0	3	0	5	0	0	0	1	0	1
