gene_id	transcript_id(s)	H9_naive_EZH2i_R1	H9_naive_none_R1
SLC5A10	NM_001042450,NM_001270648,NM_001270649,NM_001282417,NM_152351	0.00	0.00
SLC5A11	NM_001258411,NM_001258412,NM_001258413,NM_001258414,NM_052944	2.00	1.00
SLC5A12	NM_178498	5.00	0.00
SLC5A2	NM_003041,NR_130783	0.00	0.00
SLC5A3	NM_006933	55.23	68.17
SLC5A4	NM_014227	0.00	0.00
SLC5A5	NM_000453	12.00	111.00
SLC5A6	NM_021095,NR_028323	538.00	798.00
SLC5A7	NM_001305005,NM_001305006,NM_001305007,NM_021815	0.00	0.00
SLC5A8	NM_145913	0.00	0.00
SLC5A9	NM_001011547,NM_001135181	0.00	0.00
SLC6A1	NM_003042	0.00	0.00
SLC6A1-AS1	NR_046647	0.00	0.00
SLC6A10P	NR_003083	20.03	14.02
SLC6A11	NM_014229	1.00	2.00
SLC6A12	NM_001122847,NM_001122848,NM_001206931,NM_003044	0.00	0.00
SLC6A13	NM_001190997,NM_001243392,NM_016615	1.00	1.00
SLC6A14	NM_007231	0.00	0.00
SLC6A15	NM_001146335,NM_018057,NM_182767	73.00	3.00
SLC6A16	NM_014037	1.00	2.00
SLC6A17	NM_001010898	30.00	58.00
SLC6A18	NM_182632	0.00	0.00
SLC6A19	NM_001003841	185.00	89.00
SLC6A2	NM_001043,NM_001172501,NM_001172502,NM_001172504	0.00	0.00
SLC6A20	NM_020208,NM_022405	2.00	3.00
SLC6A3	NM_001044	8.00	20.00
SLC6A4	NM_001045	1.00	0.00
SLC6A5	NM_004211	1.00	0.00
SLC6A6	NM_001134367,NM_001134368,NM_003043,NR_103507	411.00	875.00
SLC6A7	NM_014228	0.00	0.00
SLC6A8	NM_001142805,NM_001142806,NM_005629	546.97	1958.98
SLC6A9	NM_001024845,NM_001261380,NM_006934,NM_201649,NR_048548,NR_048549	29.00	68.00
SLC7A1	NM_003045	148.00	145.00
SLC7A10	NM_019849	4.00	1.00
SLC7A11	NM_014331	105.00	327.00
SLC7A11-AS1	NR_038380	2.00	3.00
SLC7A13	NM_138817	0.00	0.00
SLC7A14	NM_020949	0.00	0.00
SLC7A2	NM_001008539,NM_001164771,NM_003046	642.00	170.00
SLC7A3	NM_001048164,NM_032803	15.00	42.00
SLC7A4	NM_004173	25.00	29.00
SLC7A5	NM_003486	2988.93	3699.97
SLC7A5P1	NR_002593	3.00	2.00
SLC7A5P2	NR_002594	8.07	5.03
SLC7A6	NM_001076785,NM_003983	123.00	196.00
SLC7A6OS	NM_032178	18.00	35.00
SLC7A7	NM_001126105,NM_001126106,NR_040448	255.00	324.00
SLC7A8	NM_001267036,NM_001267037,NM_012244,NM_182728,NR_049767	962.00	377.00
SLC7A9	NM_001126335,NM_001243036,NM_014270	1.00	0.00
